Site_Depth_Date,Ascidian,CCA,Cyanobacteria,Hydrozoan,Macroalgae,Octocoral,Other mobile invertebrates,Scleractinian,Sponge,Stable substrate,Turf,Unstable substrate,Zoanthid
Dafu_5m_20230704,0,0.225785864,0,0.000637968,0.005595908,0.000251683,0.000111871,0.076795795,0,0.003661646,0.61806185,0.06601949,0.003077925
Dengta_5m_20220627,0.000169156,0.131169857,0.000938784,0.001874147,0.00145807,0.045646806,0,0.247241247,0.006703425,0.041250964,0.421651608,0.101288986,0.00060695
Dingbaisha_5m_20220409,0,0.093895028,0,0.0137711,0.006367016,0.025933207,0.000141773,0.211285056,0,0.004138084,0.621852656,0.019909077,0.002707004
Dongchin_10m_20190801,0,0.112669751,0.000691461,0.008162336,0.014425006,0.125839082,0.003150429,0.115715333,0.014471818,0.03043581,0.487635983,0.086771053,3.19382881081151e-05
Dongchin_5m_20220715,0,0.215856016,4.08987410817099e-05,0.014238841,0.006089308,0.034915041,0,0.189879691,0.003530562,0.005308245,0.484377399,0.042871277,0.002892722
Dongjiyu_5m_20210501,0,0.085214893,0,7.7637182572489e-05,0.001367737,0.03764302,8.92153177563844e-05,0.297105341,0.000152039,0.001697959,0.543581023,0.02432084,0.008750295
Dongyuping_5m_20210504,0,0.044986947,0,0,0,0.042887792,0,0.517500086,0.000159452,0.000164325,0.241464464,0.15067179,0.002165144
Duziping_10m_20200610,0,0.095108672,6.37618762542381e-05,0.004410449,0.008941329,0.006253558,0.017406064,0.194996986,0.000238654,0.006989617,0.589743628,0.075165307,0.000681974
Duziping_5m_20210901,0,0.144793416,0,0,0.002935702,0.008600544,0.000810692,0.060642464,0.001469945,0.00069846,0.717669537,0.054664371,0.00771487
East_Inner_Atoll_5m_20200508,0,0.106762608,8.43094639483643e-05,0.015285883,0.003198552,0.039949862,0.000224754,0.388107592,0.000973578,0.043898168,0.296447748,0.100164915,0.00490203
East_Outer_Atoll_10m_20200510,0.000193671,0.229893361,0.004532136,0.00583587,0.030718549,0.02052825,0,0.07252979,0.000362862,0.039711389,0.559596024,0.036098096,0
Fenniaolin_5m_20200814,0,0.093113551,0.000874787,0.023177443,0.040170624,0.078231981,0,0.064594887,0.005032351,0.001447877,0.57001814,0.122665244,0.000673115
Fenniaolin_5m_20210825,0,0.087108726,0,0.007966952,0.000968912,0.301328539,9.64936759009952e-05,0.144440536,0.002098702,0.000269172,0.427506781,0.023052341,0.005162846
Fenniaolin_5m_20220819,0,0.163296727,0.000343253,0.015328013,0.002156304,0.154361079,7.34803546942177e-05,0.230550332,0.004547232,0.005890244,0.335923524,0.081114788,0.006415023
Gongguan_1_5m_20220629,0.000234857,0.133788939,0,0.020794593,0.003515002,0.037428192,0,0.259160199,0.000445146,0.017200851,0.479790881,0.046007826,0.001633515
Gongguan_10m_20190403,0,0.175798216,0.000725783,0.007868721,0.008578766,0.070693179,9.87750815591093e-05,0.288289836,0.004267895,0.024642752,0.375137426,0.043197638,0.000701013
Gongguan_2_5m_20220629,0,0.109389841,0,0.030650905,0.000503154,0.060769514,0,0.384157299,0.000301796,0.02490343,0.346817148,0.037078482,0.005428431
Gongguan_5m_20230710,0,0.232844629,0,0.043020047,0.000877638,0.081259598,8.96335662755108e-05,0.276076031,0.007065846,0.014228505,0.290909591,0.043412753,0.01021573
Guian_Harbor_10m_20190823,0,0.396228778,9.47149286418767e-05,0.000193407,0.021278881,0.011716334,0,0.146346144,0.001808429,0.041854756,0.266618878,0.111799679,0.002059997
Guian_Harbor_5m_20210713,0,0.235268705,0,0,0.019677209,0.011561608,0,0.031481748,0.000740137,0.002187267,0.656481158,0.041208978,0.00139319
Guishandao_1_10m_20200714,0,0.102936418,0.017354786,0.000597515,0.012509568,0.04233084,0.000235541,0.055505581,0.006410179,0.008663036,0.668231476,0.08494083,0.00028423
Guishandao_1_5m_20210923,0,0.17645686,0,0.005316698,0.000778531,0.027138813,0,0.125969412,0.001882947,0.005978727,0.630112778,0.024358075,0.00200716
Guishandao_2_10m_20200714,0,0.106414732,0.049141106,0.002590437,0.024808133,0.030927411,0.000175049,0.107107347,0.002412993,0.051524232,0.4592494,0.16564916,0
Guishandao_2_5m_20210923,0,0.280995905,0,0.003200155,0.013112089,0.192737928,0.000491599,0.07640621,0.00238052,0.003934262,0.392356984,0.03384563,0.000538719
Guiwan_10m_20170103,0,0.074279427,0,0.017327283,0.000108827,0.354201905,0,0.336347205,0.000231175,0.005148427,0.205232614,0.007123137,0
Guiwan_5m_20220628,4.03684571428571e-05,0.123535485,7.56998400451338e-05,0.000304404,0.000854567,0.027435892,4.71910206418788e-05,0.335336931,0.001993477,0.048969046,0.393589694,0.066495125,0.00132212
Guiwan_5m_20230713,0,0.14272096,0,0.001633333,0.000198169,0.029286137,0,0.405233872,0.001010073,0.01331577,0.335405042,0.061435816,0.009760828
Gupoyu_5m_20200828,0,0.140685497,8.4095333249238e-06,0.00128539,0.000732225,0.009294265,0,0.125111613,0.014568113,0.006841469,0.585435269,0.116037749,0
Gupoyu_5m_20210510,0,0.137205977,0,0,0.015570273,0.010002534,0,0.162212994,0.001520179,0.002409196,0.214866064,0.456093628,0.000119154
Haishenping_5m_20220818,0,0.195712606,0,0.069385082,0.000657758,0.060156479,0.000648947,0.440546262,0.00039417,0.008721173,0.209213993,0.012142772,0.002420758
Hepingdao_5m_20210727,0,0.4067725,0,0.000102821,0.017798614,0.009340343,0,0.132992888,0.002954919,0.001505352,0.397988975,0.019359482,0.011184106
Hongchaikeng_10m_20160518,0,0.095497457,0.002491145,0.001470965,0.006716235,0.023716321,0.001809418,0.185726764,0.003653301,0.042061869,0.484335031,0.152521492,0
Hongchaikeng_5m_20220406,0.000190786,0.115186713,0,0.016871824,0.010832562,0.019840425,0.000142441,0.159476147,0.001272667,0.004365688,0.652148491,0.018103402,0.001568856
Houbihu_5m_20220410,0,0.07580728,0,0.023709141,0.000572533,0.049467887,0.00019084,0.483153322,0.000408791,0.003220253,0.308447468,0.054184399,0.000838086
Houshi_10m_20200611,0,0.128946255,0,0.006635277,0.055958162,0.010067221,0.009017629,0.017102872,0.001602887,0.006738908,0.645857677,0.118073112,0
Houshi_5m_20210902,0,0.128314361,0,5.62524667229191e-05,0.001892401,0.011556659,0,0.115497652,0,0.000269288,0.692390467,0.04594315,0.00407977
Huaientang_5m_20210508,0,0.072894395,0,0.000154188,0.000756875,0.002689947,0,0.707694835,0.00038966,0.000130345,0.19546637,0.017807687,0.002015697
Huaping_5m_20210816,0,0.495188786,0,0.000341183,0.000127045,0.000224555,0,0.035392089,0.002207845,0.006216853,0.441933288,0.01745188,0.000916476
Huapingyan_10m_20200612,0,0.103561993,0.000125572,0.008877897,0.003144629,0.006651885,0.015768977,0.049199224,0.000467824,0.010236322,0.710378855,0.091396596,0.000190226
Huapingyan_5m_20210902,0.000534376,0.224295619,5.00888476190476e-05,0.005660008,0.004656491,0.003748347,0.011312465,0.043421771,0.001743493,0.007070512,0.600760863,0.096260256,0.000485711
Huayu_5m_20210502,0,0.116416156,0,0,0.001907449,0.022630752,0,0.226230881,0.000186965,0.000912214,0.591756841,0.038811979,0.001146763
Hujingyu_North_5m_20200825,0,0.079760608,0.000249272,0.003662724,0.000287319,0.030529448,0.001264426,0.255142856,0.000477616,0.004048843,0.431465302,0.14309762,0.050013967
Hujingyu_North_5m_20210508,0,0.086330292,0,0.000233109,7.79900227033688e-05,0.018616037,0.004519759,0.344180483,0.00098638,0.003186307,0.393735686,0.144758568,0.003375391
Hujingyu_West_5m_20200825,0,0.039829721,0,8.64794571767289e-05,0.000343077,0.005428575,0.000815218,0.091970625,0.001101346,0.00035425,0.318332119,0.541499383,0.000239206
Hungchai_5m_20220406,2.37526420291128e-05,0.092817716,0,0.001367969,0.005930206,0.019817194,0.000113299,0.189497413,0.000143461,0.008678116,0.657660404,0.021940329,0.002010141
Jialeshui_5m_20220411,0,0.221544782,0,0.053661777,0.008338094,0.095833038,0,0.216467358,0.000538655,0.007944756,0.380494905,0.013352838,0.001823796
Jiamuziwan_5m_20190821,0,0.237490092,3.49024759410523e-05,0.137734497,0.017105971,0.079218417,0.000280996,0.172758845,0.000988859,0.012376931,0.277992184,0.063498368,0.000519937
Jiamuziwan_5m_20210828,0,0.117873672,0,0.034805823,0.005846182,0.122361541,0,0.221225314,0.000899937,0.000238131,0.425861345,0.060017845,0.01087021
Jiamuziwan_5m_20220817,0,0.141861035,0,0.040903606,0.00991495,0.118522612,6.09682093578205e-05,0.313958166,0.001248069,0.001999138,0.320120756,0.026707375,0.024703324
Jihui_5m_20190819,0,0.072241445,0.001178208,0.028909644,0.007966805,0.046931452,0.000667007,0.234401929,0.002181806,0.003380926,0.3741116,0.227203578,0.0008256
Jihui_5m_20210827,0,0.104077594,0,0.035631879,0.001117504,0.098463572,7.04993891073892e-05,0.303780512,0.000415694,0.000708568,0.412000956,0.031113359,0.012619863
Jihui_5m_20220816,0,0.124768367,0,0.074080988,0.001828204,0.089431593,0.000268037,0.321003832,0.000567033,0.000506007,0.336145773,0.047605014,0.003795151
Jingyudong_5m_20200826,0,0.109450853,0,4.92798554205388e-05,0.00054512,0.012915204,0,0.11392032,0.000693615,0.002261,0.549196245,0.210736335,0.000232027
Jingyudong_5m_20210510,0,0.231790824,0,0,0.002249377,0.020513992,0,0.232869713,0.000216451,0.00046737,0.492286041,0.012261527,0.007344704
Jiqi_5m_20200813,0,0.106269769,8.52777590349847e-05,0.001420901,0.014859333,0.055819884,0.000243632,0.10428351,0.00083036,0.00161355,0.671166596,0.041336265,0.002070921
Jiqi_5m_20210825,0,0.255284564,0,0.00010664,0.011246776,0.003199041,0,0.00957981,0.000508609,5.98245670662271e-05,0.687552627,0.031701948,0.000760161
Jiqi_5m_20220818,0,0.209949973,0,8.69649903892255e-05,0.029550289,0.039628606,0.000128377,0.104377895,0.00153872,0.002520484,0.542790175,0.067864765,0.00156375
Keelung_Island_10m_20170925,8.99565048518613e-05,0.195299924,0.000453386,0,0.020178109,0.006032584,0.001070541,0.203116149,0.026518464,0.004222352,0.442121453,0.088753204,0.012143878
Keelung_Island_5m_20210727,0,0.186757096,0,8.15516384201157e-05,0.001737518,0.021779354,0,0.359121127,0.001105588,0.003141197,0.363764854,0.030445694,0.03206602
Keelungyu_5m_20200827,0,0.051439435,0.000133212,0.000778043,0.000225438,0.02195122,0.001017612,0.224329406,0.001103257,0.001494882,0.341803291,0.354750579,0.000973623
Keelungyu_5m_20210507,0,0.056356261,0,0.000134126,0.000357382,0.024373242,0.00063052,0.303336089,0.000371862,0.001446074,0.435743412,0.177173076,7.79563922992182e-05
Kongziyan_5m_20220817,0,0.147718697,0,0.021739188,7.27621178265679e-05,0.049515014,0,0.438592672,2.1178980952381e-05,0.030998659,0.277233159,0.032488397,0.001620272
Landong_10m_20190729,0,0.101190568,0,0.002688718,0.000190237,0.016803076,0.000386942,0.190789838,0.001073747,0.059114207,0.498521036,0.127733015,0.001508616
Landong_5m_20220713,0,0.222301437,0,0.001960993,0.000238103,0.01238952,0,0.181269185,0.000429225,0.020569131,0.466748398,0.092001832,0.002092176
Laurenyan_10m_20190730,0,0.110800838,0,0.001150537,2.16736952164215e-05,0.033112438,0.000224453,0.230563509,0.003837846,0.063622477,0.523855966,0.03050749,0.002302772
Laurenyan_5m_20220712,0,0.226323044,0,0.017490456,0.000358597,0.015618631,0,0.252587386,0.002817968,0.010874325,0.445364183,0.026438121,0.002127289
Leidashih_5m_20220407,0,0.172147851,0,0.072369545,0.003233896,0.084983503,0,0.266328199,0.000562551,0.005198,0.382175391,0.011493216,0.001507848
Longdong_5m_20190524,0.000476841,0.298805247,1.99686722721966e-05,6.18814761904762e-05,0.231457132,0.023062134,0.002436395,0.076754815,0.007616766,0.004340425,0.32742588,0.017882761,0.009659753
Longdong_5m_20210628,0,0.432270141,0,0.004443771,0.035281012,0.020404032,0,0.055607151,0.000170469,0.003894131,0.391756748,0.030313697,0.025858849
Longdong_5m_20220810,1.87835904574069e-05,0.270705367,2.91170476190476e-05,0.0010371,0.004907139,0.048797998,0.001169719,0.141854185,0.0011376,0.004814435,0.481348866,0.021400363,0.022779328
Longkeng_10m_20160519,0,0.207341443,0.020961517,0.00417119,0.021831028,0.101478441,3.73045809896855e-05,0.108442871,0.001736267,0.031647107,0.480133052,0.021850238,0.000369542
Longkeng_5m_20220411,0,0.224338579,0,0.011408701,0.009108473,0.121632226,0,0.190910559,0.000209491,0.006082144,0.416719311,0.012315922,0.007274592
Longxiadong_10m_20200611,0,0.082053797,0.000575524,0.004663594,0.020159582,0.023982725,0.007448551,0.057143958,0.000493251,0.003908358,0.705376446,0.094194212,0
Longxiadong_5m_20210903,0,0.202215186,0,0,0.003740692,0.004198786,0,0.012769896,0.000161181,0.000238638,0.754185228,0.022313602,0.000176791
Longxiadong_5m_20230630,0,0.129831798,0,0.000875096,0.00174813,0.003091614,0.000131183,0.033037121,1.34089238036539e-05,0.001393166,0.753947132,0.073989698,0.001941653
Magang_10m_20160727,0,0.220317048,0,0.000137395,0.053795079,0.013699106,0.000234683,0.106923126,0.001959865,0.020021802,0.520142233,0.061912908,0.000856753
Magang_5m_20210730,0,0.472166282,0,0.000254121,0.02189914,0.008426881,0.000668797,0.092184608,0.006622453,0.003694784,0.33107916,0.050105659,0.012898115
Maoao_10m_20190823,0,0.459084261,0.000440674,0.000310477,0.024722757,0.004603996,0.000452095,0.118536729,0.003855998,0.024328126,0.275916846,0.081470515,0.006277524
Maoao_5m_20210730,0,0.45525825,0,0.000491301,0.040611018,0.017844103,0,0.069770631,0.000623761,0.005074562,0.310973487,0.084098721,0.015254166
Maobitou_10m_20160515,0,0.309168928,0.000512623,0.002193391,0.014783761,0.197693862,0.004070557,0.14070681,0.001781803,0.019248572,0.288759027,0.02101685,6.38164961237134e-05
Maobitou_5m_20220409,0,0.167071236,0,0.029778373,0.002510793,0.220467243,0.000296468,0.141677045,5.06910912035005e-05,0.002900781,0.419960996,0.013224015,0.002062358
Maoyu_5m_20210502,0,0.098135304,0,0,0.001903198,0.070531979,0,0.315077412,0.000707145,0.00020676,0.470208485,0.021689278,0.021540438
Meirendong_10m_20200612,0,0.145125106,0,0.008522464,0.014265035,0.010845549,0.015172295,0.137689781,0.00109697,0.008107055,0.558894525,0.099257831,0.001023388
Meirendong_5m_20210901,0,0.207785722,0,0.002899887,0.004413729,0.009392963,0.000999374,0.099219119,0.000644422,0.003610693,0.592777013,0.073656604,0.004600472
Meiyanshan_5m_20190716,0.00014241,0.433838905,0,0.000930388,0.026044503,0.00694559,0.000100882,0.056282555,0.001862878,0.025156938,0.403946443,0.04248347,0.002265037
Meiyanshan_5m_20210709,0,0.289226162,0,0.000366265,0.031267174,0.019494801,0.000107132,0.09779082,0.000533418,0.00101476,0.496501133,0.040826186,0.022872148
Meiyanshan_5m_20220822,0,0.403827021,0,0.001679617,0.010275569,0.014192162,0.000492467,0.081552089,0.000922082,0.001952536,0.439416072,0.036944679,0.008745706
Mianhua_5m_20210816,0,0.176800824,0,0.000608595,0.001632777,0.012905816,0,0.419218874,0.001568549,0.001564537,0.360860434,0.016337005,0.008502589
Midaoyan_5m_20230525,0,0.573911368,0,0.000292932,0.007683865,0.003434276,0.000132767,0.050353745,0.008736743,0.00017255,0.32883492,0.014529853,0.011916979
Midaoyu_5m_20230525,0,0.590051113,0,0.000652125,0.000550528,0.002555698,0,0.014773287,0.003663242,0.00109865,0.360518303,0.014307636,0.011829419
Mudouyu_5m_20210511,0,0.316784617,0,0.000208488,0.013983832,0.02195754,0,0.24058117,3.25308729599326e-05,0.003823393,0.319908215,0.082262415,0.000457799
Mujiyan_10m_20190801,0,0.190557564,0,0.009906205,0.00398777,0.105870525,0,0.240365608,0.002822882,0.017670333,0.417370316,0.010889488,0.000559309
Mujiyan_5m_20220714,0,0.206910647,0,0.003355516,0.000105625,0.027675309,0,0.371102208,0.00890126,0.032905346,0.320066318,0.022208861,0.00676891
North_Inner_Atoll_5m_20200509,0,0.196252962,0.000183506,0.010405149,0.006708824,0.095768412,0,0.385730004,0.001373152,0.04755349,0.239963439,0.01432441,0.001736652
North_Outer_Atoll_10m_20200510,0,0.127245918,0,0.001521276,0.00101542,0.621781325,0,0.072534049,0.00095221,0.016822245,0.131703345,0.026424211,0
Outlet_5m_20220407,0,0.167210673,0,0.042886988,0.004894073,0.113328739,0.000426699,0.22304711,0.000286031,0.004559976,0.432670189,0.010447035,0.000242487
Pengjia_5m_20210816,0,0.146984872,0,0.000193399,6.13914761543761e-05,0.091852811,0,0.439971185,0.00030812,0.003005419,0.290185964,0.011956457,0.015480381
Ponpontan_5m_20210511,0,0.18737413,0,0,0.007640598,0.008757703,0.000321047,0.225904899,0.00030447,0.001004435,0.485425894,0.083031249,0.000235575
Qimei_5m_20210430,0,0.173891236,0,0,0.003431211,0.090235132,0,0.237601818,5.4299296815678e-05,0.000924242,0.426078581,0.063441054,0.004342427
Qingqingcaoyuan_10m_20190730,0,0.15934068,0,0.001243917,0.000191241,0.027097086,0.001400101,0.331260933,1.39570762323474e-05,0.067866633,0.282525961,0.129059493,0
Qingqingcaoyuan_5m_20220712,0,0.335405222,0,0.017926935,0.000414421,0.014240791,0,0.26716119,0.001038463,0.012653611,0.284107571,0.065057102,0.001994693
Qingrendong_5m_20220715,0,0.201173466,0.000144552,0.013362216,0.000203964,0.02413146,0,0.370231605,0.00406278,0.010597078,0.359527057,0.012062879,0.004502942
Qingwan_5m_20200827,0,0.06214834,0,0.002540757,0.00401527,0.017519953,0,0.110356487,0.005552864,0.000707011,0.690130308,0.105810517,0.001218493
Qingwan_5m_20210508,0,0.076731963,0,9.99449143639194e-05,0.001707968,0.011055972,0,0.153823111,0.001183915,0.000908956,0.604336521,0.140281417,0.009870233
Qingwan_Inner_Bay_5m_20210507,0,0.073768916,0,6.12344467015296e-05,0.001829091,0.050666065,6.90983279261212e-05,0.306616949,0.0008122,5.85352840927578e-05,0.522516468,0.043370427,0.000231017
Qixingyan_5m_20220412,0,0.175407592,0,0.00426609,7.85499290266747e-05,0.030158334,0,0.479078917,0.001144041,0.002916909,0.297907988,0.00661366,0.00242792
Shanfu_10m_20200612,0,0.119374421,0.00146877,0.00742109,0.008136491,0.011951225,0.005149405,0.174820037,0.001813679,0.022585468,0.535256079,0.111421688,0.000601648
Shanfu_5m_20210902,0,0.202984804,0,0.001656651,0.004178441,0.009218091,0.001004354,0.135931937,0.00053524,0.003705328,0.5936353,0.044400296,0.002749557
Shenao_5m_20190626,0.000117622,0.513407744,0,0,0.123386758,0.003157888,0,0.108835368,0.004898538,0.004339832,0.214335966,0.015948977,0.011571307
Shenao_5m_20210618,0,0.184753815,0,0,0.042832969,0.007128885,0,0.138931571,0.000151638,0.002546778,0.581757722,0.038187456,0.003709167
Shicheng_10m_20200917,0,0.264158648,1.19533324000425e-05,0.019627416,0.01353567,0.002210776,0,0.109925405,0.011250774,0.001693055,0.550494752,0.026526536,0.000565014
Shicheng_5m_20230811,0,0.347449535,0,0.015215295,0.03232064,0.006231572,0.000891127,0.160092022,0.004173127,0.000997335,0.407794854,0.020890322,0.003944171
Shilang_10m_20170103,1.98688952579641e-05,0.136175908,2.38085523809524e-05,0.000952864,0.002179271,0.381030765,9.99287615013182e-05,0.172504589,0.008117073,0.014846063,0.239887322,0.044162538,0
Shilang_5m_20220628,0.003076424,0.127631246,0,0.015025761,0.000700654,0.216214351,0.000130326,0.257130489,0.002311199,0.036259012,0.289772678,0.051134779,0.000613082
Shimendong_5m_20230609,0,0.534931097,0,0,0.006831353,0.000535112,0,0.01468888,0.001115806,0.00396241,0.381460717,0.056165127,0.000309498
Shitiping_10m_20190822,0,0.144478133,0.000453967,0.031936052,0.013103443,0.26610082,0.003224597,0.165969309,0.001529689,0.016277488,0.263469559,0.092694804,0.00076214
Shitiping_5m_20190822,0,0.17262694,0.000482491,0.07298404,0.014405882,0.174158669,0.000737246,0.166965471,0.0001053,0.021930459,0.316436958,0.052867437,0.006299108
Shitiping_5m_20210826,0,0.238744418,0,0.010878169,0.003400952,0.079357971,0,0.172319504,0.000536735,0.000447427,0.44596676,0.037117181,0.011230883
Shiyusan_5m_20190821,0,0.373301846,2.05757142651386e-05,0.006559729,0.015413781,0.00458366,0,0.072310313,0.004422455,0.003293871,0.486090213,0.034003557,0
Shiyusan_5m_20210827,0,0.345483602,0,0.000143883,0.017310809,0.021376492,8.69823262412003e-05,0.052343502,0.001570772,0.000604994,0.540510971,0.016526176,0.004041816
Shuangshiyan_10m_20190801,0,0.107040029,0,0.000688042,0.00010439,0.082785942,0,0.355416301,0.000634737,0.025199433,0.41716241,0.009481872,0.001486845
Shuangshiyan_5m_20220714,0,0.186228134,0,0.016988198,0.000728354,0.032753867,0,0.328364329,0.001546944,0.029155131,0.372319802,0.027410629,0.004504612
Siangjiaowan_1_5m_20220408,0,0.129131144,0,0.00557105,0.006496613,0.029996345,0.000314698,0.277206139,2.07954856726947e-05,0.003342013,0.533775707,0.013517433,0.00062806
Siangjiaowan_2_5m_20220408,0,0.134706494,0,0.005072603,0.004082979,0.01896011,0,0.354402786,0,0.005663599,0.455219844,0.021637153,0.000254431
Sijiaoyu_5m_20200826,0,0.071344343,0,0.002173912,0.001560735,0.030827285,0,0.24145853,0.005103802,0.000660648,0.532412869,0.111254536,0.00320334
Sijiaoyu_5m_20210507,0,0.060977624,0,0,0.000354506,0.027279181,9.01150018044438e-05,0.451178536,0.000892318,0.000315561,0.423236629,0.034643415,0.001032116
South_Inner_Atoll_5m_20200508,0,0.083612379,0.000133477,0.002400131,0.004627932,0.034621262,0.00049461,0.482991543,0.000423536,0.06988026,0.253147017,0.067427033,0.000240818
South_Outer_Atoll_10m_20200511,0,0.141307704,0.000176806,0.004633754,0,0.046240112,1.06628095131467e-05,0.509373233,0.000365237,0.093577111,0.178860216,0.023921941,0.001533225
Southwest_Outer_Atoll_10m_20200512,0,0.171411042,0.000289785,0.002341392,0.000345164,0.015412766,0,0.543802444,0.000144458,0.075532065,0.157306232,0.031659351,0.001755302
Tiaoshi_5m_20220408,0,0.0847962,0,0.142176231,0.00605207,0.010708736,0.000642275,0.357613214,0.000273412,0.002425235,0.36728955,0.027149749,0.000873328
Tiezhenyu_North_5m_20200828,0,0.085157728,0.00035577,0.001150254,0.000336096,0.029848139,0,0.154321157,0.001944725,0.001879454,0.538465064,0.185402123,0.00113949
Tiezhenyu_North_5m_20210510,0,0.160091476,0,0,0.000722516,0.024916657,0,0.366129135,0.000960993,0.002024028,0.397141628,0.042528367,0.005485199
Tiezhenyu_South_5m_20210509,0,0.060303409,0,0.000271833,0.000253842,0.067872841,0.000694896,0.623936569,0.000600566,0.001119495,0.21486814,0.022469176,0.007609232
Tongpanyu_10m_20200825,0,0.095208375,0,0.006427674,0.000791823,0.015931997,0,0.12253328,0.006969774,0.000644125,0.504240823,0.171699361,0.075552769
Tongpanyu_5m_20210507,0,0.098522001,0,0,0.000897616,0.037649038,0.001499854,0.312072919,0.004873605,0.000954563,0.387917795,0.044772884,0.110839725
Toujinyu_5m_20210509,0,0.128684368,0,4.70928761904762e-05,9.04095238999334e-06,0.178333221,9.8603162003365e-05,0.212557953,0.000319914,0.002697409,0.349726714,0.03681398,0.090711704
Waimushan_5m_20210811,0,0.397350905,0,0,0.036653952,0.009327745,0,0.202028453,0.000124046,0.001521353,0.324657799,0.017955592,0.010380155
Wangan_5m_20210430,0,0.216241234,0,9.16275802614959e-05,0.002548091,0.077234286,0.000175698,0.12829841,0.000373492,0.001735917,0.539324863,0.024468314,0.009508067
Wanlitung_5m_20220406,0,0.093077311,0,0.011375034,0.001831397,0.031303601,9.03484644845975e-05,0.079803576,1.11085347957149e-05,0.001811888,0.753597237,0.02610494,0.000993559
West_Inner_Atoll_5m_20200509,0,0.388043975,0.000749259,0.000100495,0.000897776,0.005116744,0,0.048678395,1.49424059742944e-05,0.18021875,0.339648126,0.036402182,0.000129355
Wuguidong_10m_20200610,0,0.07652405,0.001551514,0.003535736,0.01194216,0.008686062,0.01157305,0.101911351,0,0.009719187,0.610037544,0.164455666,6.36797047619048e-05
Wuguidong_5m_20210901,0,0.306655448,0,0.001666356,0.004466467,0.019058787,0.000337862,0.090218937,8.27461239911443e-05,0.001786324,0.542443628,0.029697054,0.003586391
Wushibi_5m_20210824,0,0.202056477,0,0.008720676,0.001088395,0.133803396,0,0.114455415,0.01356145,0.004723888,0.476464013,0.03110271,0.01402358
Xiaomenyu_5m_20200826,0,0.122467291,0,0.002157416,0.000566033,0.022906257,0.000205685,0.30408793,0,0.002297978,0.503121835,0.035141004,0.00704857
