Location,Site,Depth,Site_Depth_Date,Region,latitude,longitude,Ascidian_erectsingle,CCA,Cyanobacteria_filamentous,Hydrozoan_arborescent,Hydrozoan_bushy,Hydrozoan_encrusting,Macroalgae_articulated_calcareous,Macroalgae_corticated_foliose,Macroalgae_corticated_macrophyte,Macroalgae_Filamentous_Algae,Octocoral_arborescent,Octocoral_bushy,Octocoral_clustered,Octocoral_digitate,Octocoral_encrusting,Octocoral_fan,Octocoral_lobate,Octocoral_massive,Octocoral_whip,Other.mobile.invertebrates,Scleractinian_arborescent,Scleractinian_bushy,Scleractinian_columnar,Scleractinian_encrusting,Scleractinian_foliose,Scleractinian_massive,Scleractinian_tabular,Sponge_branching,Sponge_encrusting,Sponge_massive,Stable.substrate,Turf_Turf,Unstable.substrate,Zoanthid_encrusting,Zoanthid_massive,max.monthly.SST,min.monthly.SST,PAR
Dongchin_10m_20190801,Dongchin,10m,Dongchin_10m_20190801,Lanyu,22.058051,121.568943,0,0.112669751,0.000691461,3.5596038700623e-05,0.000317923,0.007808816,0.005459557,0.00821094,0.000754509,0,0,0.003036378,0.001269122,0.087873696,0.000948692,0,0.024723789,0.007987405,0,0.003150429,0.00010053,0.001877754,2.87588018500106e-05,0.076611309,0.000283206,0.026329851,0.010483924,6.14559230485155e-05,0.009473775,0.004936587,0.03043581,0.487635983,0.086771053,3.19382881081151e-05,0,30.17884827,23.69597626,34.65927505
Dongchin_5m_20220715,Dongchin,5m,Dongchin_5m_20220715,Lanyu,22.058051,121.568943,0,0.215856016,4.08987410817099e-05,0,0.012469782,0.001769058,0.00387647,0.000117448,0.00209539,0,0,0.007565364,2.26736748029462e-05,0.010330509,0.003234109,0,0.011816223,0,0.001946163,0,0.006127719,0.01388122,0.003424657,0.093885792,0.012102113,0.021731092,0.038727098,4.65451096926501e-05,0.003273546,0.000210471,0.005308245,0.484377399,0.042871277,0.002329612,0.00056311,30.17884827,23.69597626,34.65927505
Dongjiyu_5m_20210501,Dongjiyu,5m,Dongjiyu_5m_20210501,Penghu,23.25038,119.67429,0,0.085214893,0,0,0,7.7637182572489e-05,0.001286575,7.22837300733497e-05,8.8784537857149e-06,0,0,0.000119606,0,0.024630807,0,0,0.012892607,0,0,8.92153177563844e-05,0.003643544,0.016035792,0,0.073353882,0.053271852,0.028592773,0.122207497,0.000152039,0,0,0.001697959,0.543581023,0.02432084,0.002395212,0.006355083,29.99262619,19.9396534,38.49075317
Dongyuping_5m_20210504,Dongyuping,5m,Dongyuping_5m_20210504,Penghu,23.25962,119.51113,0,0.044986947,0,0,0,0,0,0,0,0,0,0,0,0.02445053,0,0,0.018437262,0,0,0,0.01732401,0.015768973,0,0.024466504,0.370642989,0.002608651,0.086688959,0.000159452,0,0,0.000164325,0.241464464,0.15067179,0.00044936,0.001715784,29.39041519,19.47366142,38.04005051
Duziping_10m_20200610,Duziping,10m,Duziping_10m_20200610,Xiaoliuqiu,22.3500085,120.3632715,0,0.095108672,6.37618762542381e-05,0,0,0.004410449,0.004997942,0.002990906,0.000766224,0.000186257,0,0.001164097,0.000674755,0.003308063,0.001106643,0,0,0,0,0.017406064,4.61978952842931e-05,0.05158839,0.000438187,0.110606979,0.005328486,0.023973712,0.003015035,5.14134190990325e-05,0,0.000187241,0.006989617,0.589743628,0.075165307,0.000122458,0.000559516,30.60363007,22.28019142,40.31570053
Duziping_5m_20210901,Duziping,5m,Duziping_5m_20210901,Xiaoliuqiu,22.3500085,120.3632715,0,0.144793416,0,0,0,0,0.000872673,0.000260596,0.001802432,0,0,0.000110002,0,0.001050275,0.000595806,0,0.006301223,0,0.000543238,0.000810692,0.00014185,0.004631195,0,0.022082333,0.001949126,0.031003194,0.000834765,0,0.001469945,0,0.00069846,0.717669537,0.054664371,0.003740182,0.003974688,30.60363007,22.28019142,40.31570053
East_Inner_Atoll_5m_20200508,East_Inner_Atoll,5m,East_Inner_Atoll_5m_20200508,Dongsha,20.6921,116.866417,0,0.106762608,8.43094639483643e-05,0,0.001299789,0.013986094,0,0.003177313,2.12394008224178e-05,0,0,0.004607527,0,0.02781166,0.004650696,0,0.002288923,0.000179848,0.000411208,0.000224754,0.001190848,0.001707551,0.007704324,0.160281211,0.018899422,0.196388391,0.001935844,0.000121393,0.000852185,0,0.043898168,0.296447748,0.100164915,0.00136714,0.00353489,30.52989006,21.76390076,37.45334244
East_Outer_Atoll_10m_20200510,East_Outer_Atoll,10m,East_Outer_Atoll_10m_20200510,Dongsha,20.700267,116.923133,0.000193671,0.229893361,0.004532136,0.000135155,0.005318269,0.000382447,0.022855369,0.006025641,0.001837539,0,0,0.004710725,0.003200879,0.010638841,0.001204352,0,0.000299904,0.000473548,0,0,0,0.00466803,0,0.060763799,0.001637082,0.004699716,0.000761162,0.000280242,8.26204837866776e-05,0,0.039711389,0.559596024,0.036098096,0,0,30.51915932,21.81235123,37.30706024
Fenniaolin_5m_20200814,Fenniaolin*,5m,Fenniaolin_5m_20200814,East,24.49756,121.855,0,0.093113551,0.000874787,0,0.000294312,0.022883131,0.003184621,0.036950283,3.57198096824034e-05,0,0,0.002007786,0.005282363,0.055834942,0.001250045,0,0.011428936,0.002365019,6.28901774359621e-05,0,0.000368682,0.014319695,0,0.025853942,0.009276965,0.012778499,0.001997102,0.004650173,0.000303231,7.89462358591689e-05,0.001447877,0.57001814,0.122665244,0.000248018,0.000425097,29.59700966,22.24241066,29.76206017
Fenniaolin_5m_20210825,Fenniaolin*,5m,Fenniaolin_5m_20210825,East,24.49756,121.855,0,0.087108726,0,0,0.000863031,0.00710392,0.000968912,0,0,0,0,0.000151494,0,0.030764743,0.000317168,0,0.270018571,0,7.65626776278179e-05,9.64936759009952e-05,0.000248484,0.00573604,0,0.077932553,0.026289389,0.028926912,0.005307158,0.000108908,0.001989793,0,0.000269172,0.427506781,0.023052341,0.004282068,0.000880778,29.59700966,22.24241066,29.76206017
Fenniaolin_5m_20220819,Fenniaolin*,5m,Fenniaolin_5m_20220819,East,24.49756,121.855,0,0.163296727,0.000343253,0,0.004222021,0.011105992,9.51081963267173e-05,0.000288547,0.001772649,0,0.00014011,0.005967648,0.000377729,0.0427727,0.02392036,0,0.073237335,0.000114718,0.007830478,7.34803546942177e-05,0,0.002776138,0.002270159,0.143724648,0.023345907,0.057601668,0.000831813,0,0.003014595,0.001532637,0.005890244,0.335923524,0.081114788,0.005563286,0.000851737,29.59700966,22.24241066,29.76206017
Gongguan_1_5m_20220629,Gongguan_1,5m,Gongguan_1_5m_20220629,Ludao,22.678283,121.492267,0.000234857,0.133788939,0,0,0.013360905,0.007433689,0.000219095,0.003193399,0.000102507,0,0,0.0002325,0.001159732,0.014225461,0.001320701,0,0.020489799,0,0,0,0.002054222,0.012264516,0,0.135362385,0.038591424,0.024253621,0.046634031,4.48813714734528e-05,0.000400264,0,0.017200851,0.479790881,0.046007826,0.001567269,6.62451428571428e-05,30.25894165,23.23961067,34.9747467
Gongguan_10m_20190403,Gongguan,10m,Gongguan_10m_20190403,Ludao,22.676904,121.494466,0,0.175798216,0.000725783,0,0.00016102,0.007707701,0.000312169,0.007303749,0.000645413,0.000317434,0,0.005737047,0.008318851,0.038619712,0.016237487,0,0.001636891,0.000143191,0,9.87750815591093e-05,0.001071525,0.029290841,0.001355033,0.189232763,0.001364124,0.041433943,0.024541607,0.000640199,0.00283429,0.000793406,0.024642752,0.375137426,0.043197638,0.000233474,0.000467538,30.25894165,23.23961067,34.9747467
Gongguan_2_5m_20220629,Gongguan_2,5m,Gongguan_2_5m_20220629,Ludao,22.6778,121.4954,0,0.109389841,0,0,0.025862723,0.004788182,0,0.000460771,4.23834095138452e-05,0,0,0.00046539,0.002409531,0.022362927,0.001162317,0,0.034304802,6.45467209383921e-05,0,0,0.014976137,0.019698336,1.06721619154341e-05,0.226512844,0.044392209,0.045537126,0.033029975,6.53280857796138e-05,0.000236468,0,0.02490343,0.346817148,0.037078482,0.003786001,0.001642429,30.25894165,23.23961067,34.9747467
Gongguan_5m_20230710,Gongguan,5m,Gongguan_5m_20230710,Ludao,22.676904,121.494466,0,0.232844629,0,0,0.022728212,0.020291835,0.000457576,0.000420062,0,0,0,4.28430952446927e-05,0,0.045054986,0.000220794,0,0.035838659,0.000102315,0,8.96335662755108e-05,0.005225703,0.030189085,0.000217941,0.148847972,0.017132841,0.032879097,0.041583392,0,0.007065846,0,0.014228505,0.290909591,0.043412753,0.004313066,0.005902664,30.25894165,23.23961067,34.9747467
Guian_Harbor_10m_20190823,Guian_Harbor,10m,Guian_Harbor_10m_20190823,North,25.023315,121.962451,0,0.396228778,9.47149286418767e-05,0,0.000193407,0,0.013422844,0.00784649,9.54726666666667e-06,0,0,0.000735896,0,0.009814695,0.00046143,0,0.000587675,0.000116638,0,0,0,0.011405971,0,0.110613918,0.006676119,0.014541349,0.003108787,0.000554166,0.001215226,3.9036944254124e-05,0.041854756,0.266618878,0.111799679,0.000506005,0.001553992,29.49176407,19.9825592,30.02545547
Guian_Harbor_5m_20210713,Guian_Harbor,5m,Guian_Harbor_5m_20210713,North,25.023315,121.962451,0,0.235268705,0,0,0,0,0.01816558,0.001262964,0.000248666,0,0,0,0,0.004266362,0,0,0.007295246,0,0,0,0,0.006749432,0,0.017461185,0.002619739,0.003236495,0.001414897,0,0.000740137,0,0.002187267,0.656481158,0.041208978,0.000682106,0.000711085,29.49176407,19.9825592,30.02545547
Guishandao_1_10m_20200714,Guishandao_1,10m,Guishandao_1_10m_20200714,North,24.84246,121.937095,0,0.102936418,0.017354786,0,0,0.000597515,0.000855,0.010951709,0.000702859,0,0,0.006902512,0.00902384,0.021298715,0.003187966,0,0.000925322,0.000992484,0,0.000235541,3.17268149736448e-05,0.011420767,0,0.036811101,0.000539628,0.003983917,0.002718441,0.000741168,0.004072532,0.00159648,0.008663036,0.668231476,0.08494083,2.42025047619048e-05,0.000260027,29.38819695,20.65202713,31.10346603
Guishandao_1_5m_20210923,Guishandao_1,5m,Guishandao_1_5m_20210923,North,24.84246,121.937095,0,0.17645686,0,0,0.000818698,0.004498,0.000281514,0.000252368,0.000244649,0,0,3.62152005055354e-05,0,0.005699967,7.14056691729816e-05,0,0.021298178,0,3.30475331250737e-05,0,0.000847966,0.019167463,0,0.050979115,0.014416639,0.029710386,0.010847843,3.51526095589621e-05,0.001847794,0,0.005978727,0.630112778,0.024358075,0.000647903,0.001359257,29.38819695,20.65202713,31.10346603
Guishandao_2_10m_20200714,Guishandao_2,10m,Guishandao_2_10m_20200714,North,24.84632,121.944225,0,0.106414732,0.049141106,0,0,0.002590437,0.00010265,0.024662936,4.25477028925683e-05,0,0,0.001637789,0.000360112,0.020257402,0.000870395,0,0.007629377,0.000115522,5.68130039807967e-05,0.000175049,7.56441123479195e-05,0.013622646,0,0.059719938,0.000432142,0.023061724,0.010195253,0.001577076,0.000757035,7.88823839882553e-05,0.051524232,0.4592494,0.16564916,0,0,29.38819695,20.65202713,31.41858673
Guishandao_2_5m_20210923,Guishandao_2,5m,Guishandao_2_5m_20210923,North,24.84632,121.944225,0,0.280995905,0,0,0.003200155,0,0.001651015,0.009760697,0.001700376,0,0,0.000113058,0,0.112274958,0,0,0.080349913,0,0,0.000491599,0.007529832,0.035370924,0,0.01985148,0.003586407,0.004340299,0.00572727,0.000224541,0.002155979,0,0.003934262,0.392356984,0.03384563,0.000499254,3.94646476190476e-05,29.38819695,20.65202713,31.41858673
Guiwan_10m_20170103,Guiwan,10m,Guiwan_10m_20170103,Ludao,22.64109667,121.480459,0,0.074279427,0,0.005693682,0.002943476,0.008690125,0,5.44321109656755e-05,0,5.43951306925253e-05,0.001199832,0.181430189,0.161877016,1.23089205942734e-05,0.008796849,0,0.000354656,0.000531055,0,0,0.01860313,0.042030674,0.000560396,0.125919366,0.00522433,0.013870638,0.130138672,0,6.76808958985093e-05,0.000163494,0.005148427,0.205232614,0.007123137,0,0,30.2981739,23.32548714,35.13315582
Guiwan_5m_20220628,Guiwan,5m,Guiwan_5m_20220628,Ludao,22.64109667,121.480459,4.03684571428571e-05,0.123535485,7.56998400451338e-05,0,0,0.000304404,0,0.000546197,0.00030837,0,0,0.005836243,0.006064157,0.00566655,0.008408266,0,0.000426109,0.000382736,0.00065183,4.71910206418788e-05,0.000908588,0.02291801,0.000827139,0.237268246,0.033010162,0.024632094,0.015772692,8.53112865198055e-05,0.001659047,0.000249119,0.048969046,0.393589694,0.066495125,0.000722815,0.000599305,30.2981739,23.32548714,35.13315582
Guiwan_5m_20230713,Guiwan,5m,Guiwan_5m_20230713,Ludao,22.64109667,121.480459,0,0.14272096,0,0,0.000269982,0.00136335,0.000198169,0,0,0,0,0.000137988,0.000527862,0.012624638,1.54032571428571e-05,0,0.015980246,0,0,0,0.001913032,0.012850564,8.81096287476478e-05,0.206905242,0.132234208,0.040019042,0.011223674,0.00032871,0.000681363,0,0.01331577,0.335405042,0.061435816,0.005071043,0.004689785,30.2981739,23.32548714,35.13315582
Gupoyu_5m_20200828,Gupoyu,5m,Gupoyu_5m_20200828,Penghu,23.71468,119.558475,0,0.140685497,8.4095333249238e-06,0,0.000303124,0.000982267,0.000220856,0.000504905,6.46402488582711e-06,0,0,0.005890817,0,0.002909024,0.000494423,0,0,0,0,0,0.043487975,0.018519959,0.000261211,0.02248369,0.000890093,0.010686489,0.028782196,0.014560356,7.75693999224306e-06,0,0.006841469,0.585435269,0.116037749,0,0,28.9536953,18.21903229,36.45840454
Gupoyu_5m_20210510,Gupoyu,5m,Gupoyu_5m_20210510,Penghu,23.71468,119.558475,0,0.137205977,0,0,0,0,0.002860696,0.012709578,0,0,0,0,0,0.005136781,0,0,0.004865753,0,0,0,0.076326757,0.012338234,0,0.015303574,0.004169667,0.014440958,0.039633804,0.001520179,0,0,0.002409196,0.214866064,0.456093628,0.000119154,0,28.9536953,18.21903229,36.45840454
Haishenping_5m_20220818,Haishenping,5m,Haishenping_5m_20220818,Ludao,22.6585,121.507583,0,0.195712606,0,0.000101909,0.067013222,0.002269952,0.000522372,0.000135387,0,0,0,0.002670714,0.004196923,0.04105234,0.001210902,0.000270669,0.010754931,0,0,0.000648947,0.026915029,0.044028925,0.00080975,0.155105387,0.058477543,0.016851461,0.138358167,0.00039417,0,0,0.008721173,0.209213993,0.012142772,0.001875126,0.000545632,30.25894165,23.23961067,35.13315582
Hepingdao_5m_20210727,Hepingdao,5m,Hepingdao_5m_20210727,North,25.1621135,121.7689535,0,0.4067725,0,0,0.000102821,0,0.014720385,0.000751469,0.002326761,0,0,0,0,0.000601306,0,0,0.008739037,0,0,0,0.000437032,0.002679826,0,0.120540191,0.003517138,0.003009676,0.002809025,0,0.002954919,0,0.001505352,0.397988975,0.019359482,0.005658432,0.005525674,29.74578094,18.79842949,29.88887596
Hongchaikeng_10m_20160518,Hongchaikeng,10m,Hongchaikeng_10m_20160518,Kenting,21.96504167,120.7105813,0,0.095497457,0.002491145,0,0,0.001470965,0.003883847,0.002832388,0,0,0,0.005647879,0.001900119,0.012896013,0.002070497,0,0.001052403,0.00014941,0,0.001809418,0.000983642,0.029129612,0,0.116934481,0.005344583,0.017714484,0.015619962,0.000699266,0.002118389,0.000835646,0.042061869,0.484335031,0.152521492,0,0,30.56768799,23.24245453,39.06655502
Hongchaikeng_5m_20220406,Hongchaikeng,5m,Hongchaikeng_5m_20220406,Kenting,21.96504167,120.7105813,0.000190786,0.115186713,0,0,0.015786738,0.001085086,0.002577479,0.008058194,0.000196888,0,0,0.001181186,0,0.005886303,0.000475221,0,0.012297714,0,0,0.000142441,0.000282267,0.055519395,0,0.072877945,0.00811827,0.01805805,0.00462022,0.000286895,0.000553626,0.000432146,0.004365688,0.652148491,0.018103402,0.001464833,0.000104023,30.56768799,23.24245453,39.06655502
Houbihu_5m_20220410,Houbihu,5m,Houbihu_5m_20220410,Kenting,21.942488,120.752944,0,0.07580728,0,0,0.022680886,0.001028255,0.000202514,0.000370018,0,0,0,0,0.00034744,0.023605663,0.000375933,0,0.025138851,0,0,0.00019084,0.009641169,0.010848363,0,0.068573667,0.359724043,0.012986368,0.021379714,5.21153714285714e-05,0.000356676,0,0.003220253,0.308447468,0.054184399,0.000192148,0.000645938,30.45998764,23.24942207,38.59011841
Houshi_10m_20200611,Houshi,10m,Houshi_10m_20200611,Xiaoliuqiu,22.3247995,120.3666185,0,0.128946255,0,3.41614226295923e-05,0.000942596,0.00565852,0.017158617,0.036029281,0.002770264,0,0,0.001529647,0.000106542,0.003613315,0.004121653,0,8.713192363526e-05,0.000608932,0,0.009017629,0,0.004143514,0,0.010581149,0.000520702,0.000427334,0.001430173,0.000839373,0.000763514,0,0.006738908,0.645857677,0.118073112,0,0,30.63549423,22.31768417,40.42216873
